Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
2,02E+11;18;7;9;445;2;2;1;1;1;14;Face au 97 Rue de Consta;M;5063805;241241;620
2,02E+11;18;10;17;1450;1;1;1;1;1;14;rue de monbus;M;5062565;234829;620
2,02E+11;18;10;24;1000;1;2;9;1;6;14;rue du bois;M;5063717;240934;620
2,02E+11;18;10;29;720;2;1;1;1;7;14;D192;M;5064846;236145;620
2,02E+11;18;11;16;1332;1;2;9;1;3;14;rue constantinople;M;5063675;241361;620
2,02E+11;18;11;24;530;3;2;1;3;6;14;Rue de merville;M;5064123;241237;620
2,02E+11;18;3;1;915;1;1;6;4;7;721;D940/D48;M;5017290;163644;800
2,02E+11;18;4;11;1545;1;2;1;1;2;603;R D'ARREST;M;5010796;161532;800
2,02E+11;18;6;7;1740;1;2;1;1;6;345;16 R DU MESNIL;M;5009610;164159;800
2,02E+11;18;6;10;1850;1;2;1;1;3;618;R DU GENERAL DE GAULLE;M;5017596;157859;800
2,02E+11;18;6;25;2140;2;1;1;1;7;464;RTE DE PENDE;M;5016059;156019;800
2,02E+11;18;7;16;2030;1;2;1;1;3;182;R DU MARECHAL FOCH;M;5017914;149319;800
2,02E+11;18;8;1;1900;1;1;2;7;3;775;D925 / D48;M;5007682;161003;800
2,02E+11;18;8;14;1230;1;1;1;1;1;29;R DE CATIGNY;M;5014203;161346;800
2,02E+11;18;10;4;1745;1;1;1;1;5;826;D940;M;5013038;150174;800
2,02E+11;18;10;14;1345;1;2;1;1;6;29;8 BIS  R DE CATIGNY;M;5012909;161633;800
2,02E+11;18;11;3;1720;2;2;1;1;1;556;R DE QUESNOY;M;5011688;165599;800
2,02E+11;18;1;2;1640;2;1;1;3;1;16;D929;M;5000804;267079;800
2,02E+11;18;3;31;1115;1;1;1;1;5;16;R DU 11 NOVEMBRE;M;4999609;266388;800
2,02E+11;18;6;3;645;1;2;1;1;6;16;R DE BIRMINGHAM;M;5000375;264871;800
2,02E+11;18;7;7;625;2;2;1;1;7;753;RTE DE ST PIERRE DIVION;M;5006713;267660;800
2,02E+11;18;7;23;1123;1;2;1;1;1;640;116  RTE DE BAPAUME;M;5003975;272710;800
2,02E+11;18;1;25;945;1;1;1;2;1;553;route dйpartementale 966;M;4959855;404784;20
2,02E+11;18;4;3;1910;1;1;1;3;3;309;RD 1044 - PR 78+ 897;M;4952564;375462;20
2,02E+11;18;4;24;745;1;1;1;1;5;309;D1044;M;4952690;375523;20
2,02E+11;18;8;25;2035;2;2;1;1;6;697;Lieu dit Etrepoix;M;4960686;373228;20
2,02E+11;18;10;19;700;2;1;1;5;6;309;RD 1044;M;4951989;375201;20
2,02E+11;18;11;23;1650;2;1;1;1;7;13;D89: PK13+515;M;4947916;391670;20
2,02E+11;18;12;7;800;1;1;4;2;1;218;Dйpartementale 25 / Dйpa;M;4954384;376781;20
2,02E+11;18;1;10;1210;1;1;1;2;1;596;RD 82;M;4896681;328306;20
2,02E+11;18;4;15;1434;1;1;1;1;7;186;D86;M;4898667;335821;20
2,02E+11;18;4;17;1926;1;1;1;1;7;84;route de nanteuil;M;4900594;322624;20
2,02E+11;18;4;21;1925;1;2;1;1;7;701;153 route nationale;M;4897518;330591;20
2,02E+11;18;5;2;1123;1;1;2;1;1;798;D 933;M;4889759;340623;20
2,02E+11;18;6;5;1800;1;1;2;8;3;443;Intersection D1003/D82;M;4904437;327758;20
2,02E+11;18;7;8;630;1;2;1;1;6;555;43 Bis Rue Ernest Vallйe;M;4896499;331876;20
2,02E+11;18;9;26;1944;2;1;1;1;7;505;Les chaillots;M;4893633;342007;20
2,02E+11;18;9;27;1330;1;1;1;1;7;555;D11;M;4895005;332989;20
2,02E+11;18;9;27;1345;1;1;1;1;6;505;lieu dit Pertibout;M;4894573;345987;20
2,02E+11;18;10;2;2040;3;1;1;2;1;555;Rue de la Ferotterie;M;4896244;333051;20
2,02E+11;18;10;4;1630;1;1;1;1;1;186;D15;M;4899086;337105;20
2,02E+11;18;10;17;1945;3;1;1;1;2;281;PK 5 + 920;M;4889540;344769;20
2,02E+11;18;1;10;1940;5;2;2;1;3;381;Rue Charles de Gaulle;M;4992110;408369;20
2,02E+11;18;3;25;1300;1;2;2;7;3;381;rue du 8 mai 1945;M;4992433;407923;20
2,02E+11;18;5;3;1640;1;2;6;1;3;381;Avenue de Verdun;M;4990960;409055;20
2,02E+11;18;6;3;1050;1;1;4;1;2;495;RD 1043 PK 20+ 900;M;4995690;403659;20
2,02E+11;18;6;8;925;1;2;1;1;6;684;Rue du Gйneral LECLERC;M;4992216;414037;20
2,02E+11;18;7;24;1855;1;2;1;1;2;544;28 rue du baty;M;4993371;403134;20
2,02E+11;18;8;12;1927;1;1;2;1;3;833;RD 1043;M;4996369;398645;20
2,02E+11;18;10;4;1815;1;2;1;1;1;495;rue Marius Alliaume;M;4997416;407158;20
2,02E+11;18;11;23;1000;1;2;1;1;6;684;43 RUE DE LA ROCHE;M;4992529;413344;20
2,02E+11;18;1;12;1730;2;2;3;1;3;644;Route   Nationale;M;4928661;181959;600
2,02E+11;18;1;11;1825;2;1;2;1;3;89;D  153;M;4921959;188401;600
2,02E+11;18;1;21;1500;1;1;3;2;3;89;RD915;M;4920627;186188;600
2,02E+11;18;2;16;600;3;1;1;1;6;90;RD 915;M;4917391;191236;600
2,02E+11;18;11;21;1005;1;1;1;7;1;97;RD 153;M;4931125;188599;600
2,02E+11;18;12;9;1820;3;1;2;2;3;322;D981;M;4930473;186803;600
2,02E+11;18;1;27;730;2;1;1;8;6;65;rue du moulin de Conflan;M;4933984;221013;600
2,02E+11;18;5;3;1730;1;1;1;1;7;135;CD 44;M;4930783;223766;600
2,02E+11;18;7;4;1650;1;1;1;1;6;462;RD 1001;M;4933690;219672;600
2,02E+11;18;7;11;1630;1;1;1;1;1;469;D1001;M;4926493;220385;600
2,02E+11;18;7;17;1730;1;2;1;1;3;462;rue de Calais;M;4933312;219883;600
2,02E+11;18;7;22;1845;1;1;3;1;3;575;ROUTE DEPARTEMENTALE 100;M;4930050;219718;600
2,02E+11;18;9;14;830;1;2;1;1;7;65;RUE DE HERMES;M;4935144;223596;600
2,02E+11;18;10;3;1240;1;2;1;1;1;685;;M;4936378;221636;600
2,02E+11;18;7;7;1830;1;1;1;1;7;524;RD1016;M;4934335;243335;600
2,02E+11;18;9;11;1905;1;2;1;1;6;360;06 rue victor hugo;M;4932944;246398;600
