Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
2,018E+11;3;15;;;2;2;;;0;1;1;;;1;5;1;0
2,018E+11;3;56;;;2;2;22;0;0;3;2;;;1;0;3;0
2,018E+11;3;1;;;2;2;46;0;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;2;3;;;1;0;1;0
2,018E+11;3;1017;;;2;2;9;800;0;1;1;;;1;0;4;0
2,018E+11;3;330;;;2;2;2;600;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;932;;A;2;2;1;100;0;1;1;;;1;0;1;0
2,018E+11;3;330;;;2;2;5;0;0;4;1;;;1;0;4;0
2,018E+11;3;932;;A;2;2;2;0;0;1;1;;;1;0;1;0
2,018E+11;3;1324;;;2;2;5;600;0;1;1;;;2;0;1;0
2,018E+11;3;923;;;2;2;1;0;0;4;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;4;0
2,018E+11;3;118;;;2;2;22;0;0;1;1;;;1;0;1;0
2,018E+11;3;105;;;2;2;24;300;0;1;1;;;1;0;1;0
2,018E+11;3;1001;;;2;3;1;1040;0;1;1;;;2;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;;;;;;;;;;;0;1;99
2,018E+11;3;49;;;2;2;4;300;0;1;3;;;1;5;1;0
2,018E+11;3;924;;;2;2;2;0;0;1;2;;;1;5;1;0
2,018E+11;3;929;;;2;2;7;807;0;1;3;;;1;5;1;0
2,018E+11;3;1001;;;2;3;1;300;0;1;1;;;1;0;1;0
2,018E+11;3;1001;;;3;4;3;900;0;1;1;;;2;0;1;0
2,018E+11;3;1001;;;2;2;1;1040;1;1;1;;;2;0;3;0
2,018E+11;3;105;;;2;2;21;750;0;2;1;;;7;0;1;0
2,018E+11;3;606;;;;;5;100;;;;;;;0;1;99
2,018E+11;4;;;;3;2;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;1;1;;;0;1;2;;;1;0;1;0
2,018E+11;3;1016;;;4;2;10;280;0;2;2;;;1;5;1;0
2,018E+11;3;924;;A;2;2;2;0;0;1;1;;;1;5;3;0
2,018E+11;3;1016;;;2;2;6;800;1;1;1;;;1;0;1;0
2,018E+11;3;924;;A;2;2;2;200;0;1;1;;;2;0;1;0
2,018E+11;3;924;;A;2;2;36;860;0;1;1;;;2;0;1;0
2,018E+11;3;44;;;2;2;22;300;0;2;4;;;2;0;1;0
2,018E+11;3;44;;;2;2;21;900;0;1;3;;;6;0;3;0
2,018E+11;3;606;;E;2;2;1;0;0;1;1;;;2;0;3;0
2,018E+11;3;44;;;2;2;22;600;0;2;2;;;2;0;1;0
2,018E+11;2;330;;;2;2;7;500;0;2;3;;;2;0;1;0
2,018E+11;3;84;;;2;2;5;600;0;1;1;;;2;0;1;0
2,018E+11;3;922;;;2;2;16;500;0;1;1;;;1;0;1;0
2,018E+11;2;330;;;2;2;7;100;0;1;4;;;1;0;1;0
2,018E+11;3;922;;;2;2;17;0;0;1;1;;;1;0;1;0
2,018E+11;2;330;;;2;2;7;400;0;2;2;;;1;0;1;0
2,018E+11;2;2;;;3;4;9;900;3;2;1;;;1;0;1;0
2,018E+11;3;922;;;2;2;17;0;0;1;1;;;2;0;1;0
2,018E+11;3;84;;D;2;2;6;0;0;1;2;;;1;0;1;0
2,018E+11;3;84;;;2;2;3;100;0;1;3;;;1;0;3;0
2,018E+11;3;84;;;2;2;6;290;0;1;3;;;2;4;1;0
2,018E+11;3;100;;;2;2;14;50;0;3;1;;;7;0;1;0
2,018E+11;2;330;;;2;2;2;800;0;1;1;;;1;0;1;0
2,018E+11;3;291;;;;;3;700;;;;;;;;;
2,018E+11;3;6014;;;2;2;9;200;0;1;1;;;1;0;1;0
2,018E+11;3;6014;;;2;2;8;800;0;1;1;;;1;0;4;0
2,018E+11;3;42;;;2;2;11;800;0;4;2;;;1;0;1;0
2,018E+11;3;7;;D;2;2;13;700;0;1;1;;;1;0;1;0
2,018E+11;3;53;;;2;2;77;150;0;1;3;;;1;0;3;0
2,018E+11;3;91;;;2;2;9;0;0;1;2;;;1;0;3;0
2,018E+11;3;10;;;2;2;4;478;0;1;1;;;1;0;1;0
2,018E+11;3;39;;D;2;2;20;523;0;1;1;;;1;0;1;0
2,018E+11;3;39;;;2;2;19;690;0;1;1;;;1;5;1;0
2,018E+11;5;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;982;;;1;1;60;550;0;2;1;;;1;3;1;0
2,018E+11;4;2;;;2;2;0;293;0;1;1;;;1;0;1;0
2,018E+11;3;6015;;;0;1;78;850;0;1;2;;;1;0;1;0
2,018E+11;3;915;;D;2;3;64;0;0;3;1;;;1;0;1;0
2,018E+11;3;7;;;;;74;250;;;;;;;;;
2,018E+11;3;157;;;2;2;0;900;0;1;1;;;1;2;1;0
2,018E+11;3;97;;D;2;2;28;680;0;2;2;;;2;0;1;0
2,018E+11;4;;;;0;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;60;;;2;2;5;200;0;2;1;;;1;0;3;0
2,018E+11;3;157;;;2;2;0;2000;0;1;1;;;2;5;1;0
2,018E+11;3;915;;D;2;3;65;200;0;2;1;;;1;5;5;0
2,018E+11;3;1;;;2;2;55;680;0;1;1;;;1;0;1;0
2,018E+11;3;156;;;;;5;217;;;;;;;;;
2,018E+11;3;8;;;2;2;8;400;0;1;1;;;2;0;1;0
2,018E+11;3;1314;;;2;2;2;28;0;1;1;;;1;0;1;0
2,018E+11;3;130;;;2;2;5;100;0;2;3;;;1;0;3;0
2,018E+11;3;919;;;2;2;31;200;0;1;1;;;1;0;3;0
2,018E+11;3;919;;;2;2;18;2000;0;2;1;;;1;0;1;0
2,018E+11;3;131;;;2;2;18;350;0;1;1;;;1;0;3;0
2,018E+11;3;131;;E;2;2;7;138;0;1;3;;;1;0;1;0
2,018E+11;3;110;;;2;2;19;386;0;1;1;;;1;0;1;0
2,018E+11;3;6015;;;2;2;49;300;0;1;1;;;1;5;1;0
2,018E+11;3;37;;;2;2;18;300;0;1;2;;;1;0;1;0
