Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,018E+11;1;7;0;0;0;1;1;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;3;2;2;1;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;1;13;0;0;2;3;15;A01
2,018E+11;0;10;0;0;2;3;1;B01
2,018E+11;0;31;0;0;2;8;15;A01
2,018E+11;1;34;0;0;0;7;0;A01
2,018E+11;0;38;38;0;2;3;1;A01
2,018E+11;0;7;0;0;2;7;19;B01
2,018E+11;0;7;0;0;0;1;1;A01
2,018E+11;0;38;1;0;0;2;1;B01
2,018E+11;2;2;0;8;0;1;13;A01
2,018E+11;1;7;0;6;2;1;2;A01
2,018E+11;1;7;0;0;0;4;2;B01
2,018E+11;2;7;0;0;2;2;2;A01
2,018E+11;2;1;0;0;0;4;1;B01
2,018E+11;0;7;0;0;1;1;15;A01
2,018E+11;2;21;0;0;2;6;15;A01
2,018E+11;2;33;0;0;2;1;17;B01
2,018E+11;0;7;0;13;9;0;0;A01
2,018E+11;2;7;0;0;2;3;1;A01
2,018E+11;1;7;0;13;0;8;1;B01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;2;7;0;1;0;7;15;B01
2,018E+11;1;7;0;0;2;8;19;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;33;0;0;6;1;17;A01
2,018E+11;1;2;0;0;2;1;17;A01
2,018E+11;2;2;0;0;2;1;21;B01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;2;7;0;0;2;3;15;A01
2,018E+11;2;2;0;0;2;1;17;B01
2,018E+11;0;7;0;2;0;1;1;A01
2,018E+11;2;7;0;0;2;1;13;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;1;2;14;A01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;2;7;0;0;0;4;1;B01
2,018E+11;1;7;0;0;2;1;19;A01
2,018E+11;1;33;0;0;2;8;1;B01
2,018E+11;1;2;0;0;2;1;1;A01
2,018E+11;1;7;0;0;2;4;23;B01
2,018E+11;0;7;0;0;2;3;20;A01
2,018E+11;0;2;0;0;2;1;1;B01
2,018E+11;2;2;0;0;0;1;1;A01
2,018E+11;2;33;0;2;0;2;1;A01
2,018E+11;0;2;0;0;2;1;17;A01
2,018E+11;0;7;0;0;0;3;15;B01
2,018E+11;0;7;0;0;1;0;6;A01
2,018E+11;1;7;0;0;9;2;14;A01
2,018E+11;1;1;0;0;2;8;0;B01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;3;15;A01
2,018E+11;0;2;0;1;0;1;16;A01
2,018E+11;0;13;0;0;0;5;24;B01
2,018E+11;2;7;0;0;2;0;0;A01
2,018E+11;2;3;0;0;2;4;2;B01
2,018E+11;1;7;0;0;2;3;1;C01
2,018E+11;2;7;0;0;0;7;24;D01
2,018E+11;0;7;0;0;9;3;15;A01
2,018E+11;0;1;0;0;2;4;1;B01
2,018E+11;0;1;0;0;9;0;1;C01
2,018E+11;0;7;0;8;0;3;1;A01
2,018E+11;0;7;0;0;0;1;0;A01
2,018E+11;0;7;0;0;2;9;1;B01
2,018E+11;0;1;0;0;2;7;1;A01
2,018E+11;0;7;0;0;0;1;1;B01
2,018E+11;0;7;0;0;1;1;1;A01
2,018E+11;0;7;0;0;0;1;1;A01
2,018E+11;0;7;0;0;2;1;19;A01
2,018E+11;0;2;0;15;2;8;1;B01
2,018E+11;0;7;0;6;0;1;1;A01
2,018E+11;1;7;0;7;0;9;1;A01
2,018E+11;2;1;0;0;2;1;1;A01
2,018E+11;2;1;0;0;0;4;2;B01
2,018E+11;0;7;0;0;1;3;18;A01
2,018E+11;0;7;0;1;0;2;2;A01
2,018E+11;0;7;0;0;0;6;24;B01
2,018E+11;0;2;0;0;0;0;0;A01
2,018E+11;0;33;0;0;2;1;10;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;2;19;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;0;10;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;5;15;A01
2,018E+11;1;33;0;0;2;1;0;B01
2,018E+11;2;7;0;0;2;8;1;C01
2,018E+11;2;7;0;0;2;8;1;D01
2,018E+11;1;35;0;6;0;1;10;A01
2,018E+11;2;2;0;0;2;1;13;A01
2,018E+11;1;7;0;0;9;3;1;B01
2,018E+11;1;7;0;0;2;3;13;A01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;1;7;0;0;2;3;16;A01
2,018E+11;1;7;0;0;2;2;0;B01
2,018E+11;2;7;0;0;2;3;1;C01
2,018E+11;0;7;0;0;1;4;4;A01
2,018E+11;0;3;0;16;0;0;0;A01
2,018E+11;1;7;0;0;2;1;5;A01
2,018E+11;2;15;0;0;2;1;1;B01
2,018E+11;2;17;0;0;2;2;1;B01
2,018E+11;1;7;0;0;2;2;13;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;7;13;A01
2,018E+11;1;14;0;0;2;1;15;A01
2,018E+11;2;33;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;23;C01
2,018E+11;2;7;0;6;0;1;13;A01
2,018E+11;2;33;0;0;9;0;1;A01
2,018E+11;1;21;0;0;0;0;1;A01
2,018E+11;2;2;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;2;9;A01
2,018E+11;1;7;0;0;2;2;1;B01
2,018E+11;2;7;0;3;2;2;1;A01
2,018E+11;2;7;0;13;0;7;1;A01
2,018E+11;0;2;0;0;0;5;1;A01
2,018E+11;1;33;0;6;0;3;1;A01
2,018E+11;1;7;0;0;2;1;1;B01
